Date,actual,epidemic_actual,split,baseline,model_ep0,model_ep1,model_ep_actual
2022-08-14,10129.0,0.0,train,,,,
2022-08-15,10490.0,0.0,train,,,,
2022-08-16,10647.0,0.0,train,,,,
2022-08-17,10456.0,0.0,train,,,,
2022-08-18,10261.0,0.0,train,,,,
2022-08-19,9393.0,0.0,train,,,,
2022-08-20,10093.0,0.0,train,,,,
2022-08-21,10332.0,0.0,train,,,,
2022-08-22,10836.0,0.0,train,,,,
2022-08-23,10428.0,0.0,train,,,,
2022-08-24,9829.0,0.0,train,,,,
2022-08-25,11555.0,0.0,train,,,,
2022-08-26,10261.0,0.0,train,,,,
2022-08-27,10971.0,0.0,train,,,,
2022-08-28,11295.0,0.0,train,,,,
2022-08-29,9378.0,0.0,train,,,,
2022-08-30,9732.0,0.0,train,,,,
2022-08-31,9631.0,0.0,train,,,,
2022-09-01,9577.0,0.0,train,,,,
2022-09-02,9962.0,0.0,train,,,,
2022-09-03,10090.0,0.0,train,,,,
2022-09-04,9907.0,0.0,train,,,,
2022-09-05,9434.0,0.0,train,,,,
2022-09-06,9725.0,0.0,train,,,,
2022-09-07,8756.0,0.0,train,,,,
2022-09-08,9002.0,0.0,train,,,,
2022-09-09,9624.0,0.0,train,,,,
2022-09-10,8596.0,0.0,train,,,,
2022-09-11,9813.0,0.0,train,,,,
2022-09-12,8536.0,0.0,train,,,,
2022-09-13,9033.0,0.0,train,,,,
2022-09-14,8821.0,0.0,train,,,,
2022-09-15,10164.0,0.0,train,,,,
2022-09-16,9394.0,0.0,train,,,,
2022-09-17,9744.0,0.0,train,,,,
2022-09-18,9200.0,0.0,train,,,,
2022-09-19,9113.0,0.0,train,,,,
2022-09-20,8461.0,0.0,train,,,,
2022-09-21,8738.0,0.0,train,,,,
2022-09-22,8432.0,0.0,train,,,,
2022-09-23,9947.0,0.0,train,,,,
2022-09-24,9352.0,0.0,train,,,,
2022-09-25,8490.0,0.0,train,,,,
2022-09-26,10579.0,0.0,train,,,,
2022-09-27,9177.0,0.0,train,,,,
2022-09-28,8564.0,0.0,train,,,,
